country,pop,continent,gdpPercap_1952,gdpPercap_1957,gdpPercap_1962,gdpPercap_1967,gdpPercap_1972,gdpPercap_1977,gdpPercap_1982,gdpPercap_1987,gdpPercap_1992,gdpPercap_1997,gdpPercap_2002,gdpPercap_2007,pop2007,lifeExp2007
Algeria,33333216.0,Africa,2449.008185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6223.367465,33333216.0,72.301
Angola,12420476.0,Africa,3520.610273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5522.776375,12420476.0,42.731
Benin,8078314.0,Africa,1062.7522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1441.284873,8078314.0,56.728
Botswana,1639131.0,Africa,851.2411407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12569.85177,1639131.0,63.622
Burkina Faso,14326203.0,Africa,543.2552413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1217.032994,14326203.0,52.295
Burundi,8390505.0,Africa,339.2964587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.6998778,8390505.0,49.58
Cameroon,17696293.0,Africa,1172.667655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2602.664206,17696293.0,54.985
Central African Republic,4369038.0,Africa,1071.310713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193.068753,4369038.0,50.485
Chad,10238807.0,Africa,1178.665927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704.063724,10238807.0,51.724
Comoros,710960.0,Africa,1102.990936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1937.577675,710960.0,65.152
"Congo, Dem. Rep.",64606759.0,Africa,780.5423257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.8602303,64606759.0,47.804
"Congo, Rep.",3800610.0,Africa,2125.621418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4879.507522,3800610.0,57.47
Cote d'Ivoire,18013409.0,Africa,1388.594732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2602.710169,18013409.0,54.655
Djibouti,496374.0,Africa,2669.529475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3694.2123520000014,496374.0,54.791
Egypt,80264543.0,Africa,1418.822445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5581.180998,80264543.0,71.33800000000002
Equatorial Guinea,551201.0,Africa,375.6431231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12154.08975,551201.0,51.57899999999999
Eritrea,4906585.0,Africa,328.9405571000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.47079,4906585.0,58.04
Ethiopia,76511887.0,Africa,362.1462796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.8055759,76511887.0,52.947
Gabon,1454867.0,Africa,4293.476475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21745.57328,1454867.0,61.36600000000001
Gambia,1688359.0,Africa,485.2306591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.7552507000001,1688359.0,59.448
Ghana,22873338.0,Africa,911.2989371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1327.60891,22873338.0,60.022
Guinea,9947814.0,Africa,510.1964923000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945.5835837,9947814.0,56.007
Guinea-Bissau,1472041.0,Africa,299.850319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838.1239671,1472041.0,46.38800000000001
