country,pop,continent,gdpPercap_1952,gdpPercap_1957,gdpPercap_1962,gdpPercap_1967,gdpPercap_1972,gdpPercap_1977,gdpPercap_1982,gdpPercap_1987,gdpPercap_1992,gdpPercap_1997,gdpPercap_2002,gdpPercap_2007,pop2007,lifeExp2007
Argentina,40301927.0,Americas,5911.315053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12779.37964,40301927.0,75.32
Bolivia,9119152.0,Americas,2677.326347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3822.137084,9119152.0,65.554
Brazil,190010647.0,Americas,2108.944355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9065.800825,190010647.0,72.39
Canada,33390141.0,Americas,11367.16112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36319.23501,33390141.0,80.653
Chile,16284741.0,Americas,3939.978789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13171.63885,16284741.0,78.553
Colombia,44227550.0,Americas,2144.115096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7006.580419,44227550.0,72.889
Costa Rica,4133884.0,Americas,2627.0094710000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9645.06142,4133884.0,78.782
Cuba,11416987.0,Americas,5586.53878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8948.102923,11416987.0,78.273
Dominican Republic,9319622.0,Americas,1397.717137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6025.3747520000015,9319622.0,72.235
Ecuador,13755680.0,Americas,3522.110717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7429.4558769999985,13755680.0,74.994
El Salvador,6939688.0,Americas,3048.3029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5728.353514,6939688.0,71.878
Guatemala,12572928.0,Americas,2428.2377690000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5186.050003,12572928.0,70.259
Haiti,8502814.0,Americas,1840.366939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.159549,8502814.0,60.916
Honduras,7483763.0,Americas,2194.926204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3548.3308460000007,7483763.0,70.19800000000001
Jamaica,2780132.0,Americas,2898.530881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7433.889293000001,2780132.0,72.567
Mexico,108700891.0,Americas,3478.125529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11977.57496,108700891.0,76.195
Nicaragua,5675356.0,Americas,3112.363948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5486.371089,5675356.0,72.899
Panama,3242173.0,Americas,2480.380334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9809.185636,3242173.0,75.53699999999998
Paraguay,6667147.0,Americas,1952.308701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4258.503604,6667147.0,71.752
Peru,28674757.0,Americas,3758.523437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7408.905561,28674757.0,71.421
Puerto Rico,3942491.0,Americas,3081.959785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19328.70901,3942491.0,78.74600000000002
Trinidad and Tobago,1191336.0,Americas,3023.271928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18008.50924,1191336.0,69.862
United States,301139947.0,Americas,13990.482080000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42951.65309,301139947.0,78.242
Uruguay,3447496.0,Americas,5716.766744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10611.46299,3447496.0,76.384
Venezuela,26084662.0,Americas,7689.799761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13143.95095,26084662.0,73.747
