country,pop,continent,gdpPercap_1952,gdpPercap_1957,gdpPercap_1962,gdpPercap_1967,gdpPercap_1972,gdpPercap_1977,gdpPercap_1982,gdpPercap_1987,gdpPercap_1992,gdpPercap_1997,gdpPercap_2002,gdpPercap_2007,pop2007,lifeExp2007
Afghanistan,31889923.0,Asia,779.4453145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978.0114388,31889923.0,43.828
Bahrain,708573.0,Asia,9867.084765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29796.04834,708573.0,75.635
Bangladesh,150448339.0,Asia,684.2441716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.253792,150448339.0,64.062
Cambodia,14131858.0,Asia,368.4692856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1713.778686,14131858.0,59.723
China,1318683096.0,Asia,400.448610699994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4959.114854,1318683096.0,72.961
"Hong Kong, China",6980412.0,Asia,3054.421209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39724.97867,6980412.0,82.208
India,1110396331.0,Asia,546.5657493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2452.210407,1110396331.0,64.69800000000001
Indonesia,223547000.0,Asia,749.6816546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3540.651564,223547000.0,70.65
Iran,69453570.0,Asia,3035.326002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11888.59508,69453570.0,70.964
Iraq,27499638.0,Asia,4129.766056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14688.23507,27499638.0,65.044
Israel,6426679.0,Asia,4086.522128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25523.2771,6426679.0,80.745
Japan,127467972.0,Asia,3216.956347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31656.06806,127467972.0,82.603
Jordan,6053193.0,Asia,1546.907807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4519.461171,6053193.0,72.535
"Korea, Dem. Rep.",23301725.0,Asia,1088.277758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4106.525293,23301725.0,70.64699999999998
"Korea, Rep.",49044790.0,Asia,1030.592226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23348.139730000006,49044790.0,78.623
Kuwait,2505559.0,Asia,108382.3529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113523.1329,2505559.0,77.58800000000002
Lebanon,3921278.0,Asia,4834.804067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10461.05868,3921278.0,71.993
Malaysia,24821286.0,Asia,1831.132894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12451.6558,24821286.0,74.241
Mongolia,2874127.0,Asia,786.5668575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3095.7722710000007,2874127.0,66.803
Myanmar,47761980.0,Asia,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944.0,47761980.0,62.069
Nepal,28901790.0,Asia,545.8657228999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091.359778,28901790.0,63.785
Oman,3204897.0,Asia,1828.230307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22316.19287,3204897.0,75.64
Pakistan,169270617.0,Asia,684.5971437999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2605.94758,169270617.0,65.483
Philippines,91077287.0,Asia,1272.880995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3190.481016,91077287.0,71.688
Saudi Arabia,27601038.0,Asia,6459.554823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34167.7626,27601038.0,72.777
Singapore,4553009.0,Asia,2315.138227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47143.17964,4553009.0,79.972
Sri Lanka,20378239.0,Asia,1083.53203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3970.095407,20378239.0,72.396
Syria,19314747.0,Asia,1643.485354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4184.548089,19314747.0,74.143
Taiwan,23174294.0,Asia,1206.947913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28718.27684,23174294.0,78.4
Thailand,65068149.0,Asia,757.7974177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7458.396326999998,65068149.0,70.616
Vietnam,85262356.0,Asia,605.0664917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2441.576404,85262356.0,74.249
West Bank and Gaza,4018332.0,Asia,1515.5923289999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7110.667619,4018332.0,73.422
"Yemen, Rep.",22211743.0,Asia,781.7175761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2280.769906,22211743.0,62.698
