country,pop,continent,gdpPercap_1952,gdpPercap_1957,gdpPercap_1962,gdpPercap_1967,gdpPercap_1972,gdpPercap_1977,gdpPercap_1982,gdpPercap_1987,gdpPercap_1992,gdpPercap_1997,gdpPercap_2002,gdpPercap_2007,pop2007,lifeExp2007
Albania,3600523.0,Europe,1601.056136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5937.029525999998,3600523.0,76.423
Austria,8199783.0,Europe,6137.076492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36126.4927,8199783.0,79.829
Belgium,10392226.0,Europe,8343.105126999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33692.60508,10392226.0,79.441
Bosnia and Herzegovina,4552198.0,Europe,973.5331948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7446.298803,4552198.0,74.852
Bulgaria,8971958.0,Europe,2444.286648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10680.79282,8971958.0,73.005
Croatia,4494013.0,Europe,3119.23652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14619.222719999998,4494013.0,75.748
Czech Republic,10315702.0,Europe,6876.14025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22833.30851,10315702.0,76.486
Denmark,5468120.0,Europe,9692.385245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35278.41874,5468120.0,78.332
Finland,5238460.0,Europe,6424.519071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33207.0844,5238460.0,79.313
France,61083916.0,Europe,7029.809327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30470.0167,61083916.0,80.657
Germany,82400996.0,Europe,7144.114393000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32170.37442,82400996.0,79.406
Greece,10706290.0,Europe,3530.690067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27538.41188,10706290.0,79.483
Hungary,10705535.0,Europe,5263.673816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18008.94444,10705535.0,73.33800000000002
Iceland,301931.0,Europe,7267.688428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36180.78919,301931.0,81.757
Ireland,4109086.0,Europe,5210.280328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40675.99635,4109086.0,78.885
Italy,58147733.0,Europe,4931.404154999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28569.7197,58147733.0,80.546
Montenegro,720230.0,Europe,2647.585601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11732.51017,720230.0,75.445
Netherlands,16570613.0,Europe,8941.571858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36797.93332,16570613.0,79.762
Norway,4627926.0,Europe,10095.42172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49357.19017,4627926.0,80.196
Poland,38654957.0,Europe,4029.329699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15389.924680000002,38654957.0,75.563
Portugal,10642836.0,Europe,3068.319867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20509.64777,10642836.0,78.098
Romania,22797027.0,Europe,3144.613186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10808.47561,22797027.0,72.476
Serbia,10336594.0,Europe,3581.459448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15870.87851,10336594.0,74.002
Slovak Republic,5447502.0,Europe,5074.659104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18678.31435,5447502.0,74.663
Slovenia,2011612.0,Europe,4215.041741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25768.25759,2011612.0,77.926
Spain,40448191.0,Europe,3834.034742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28821.0637,40448191.0,80.941
Sweden,9031088.0,Europe,8527.844662000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33859.74835,9031088.0,80.884
Switzerland,7554661.0,Europe,14734.23275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37506.41907,7554661.0,81.70100000000002
Turkey,71158647.0,Europe,1969.10098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8458.276384,71158647.0,71.777
United Kingdom,60776238.0,Europe,9979.508487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33203.26128,60776238.0,79.425
